trade_date,classification,total_pnl,total_volume,avg_trade_size
2025-01-06,extreme greed,3856.893171,436534.36,3074.185633802817
2025-01-07,extreme greed,11206.706221,1106930.26,4084.6135055350555
2025-01-08,greed,3710.36178,586042.01,6301.526989247312
2025-01-09,greed,10647.977,44602.54,8920.508
2025-01-10,neutral,-36229.641811,5895084.66,26918.19479452055
2025-01-11,greed,1559.841529,1562606.06,14335.835412844037
2025-01-12,greed,736.621517,1865292.07,21440.138735632183
2025-01-13,greed,5701.711473,2614196.39,14285.226174863388
2025-01-14,greed,1983.485278,674016.0,13216.0
2025-01-15,greed,12853.281673,1664134.82,19350.40488372093
2025-01-16,extreme greed,6067.707941000001,2803362.7399999998,18322.6322875817
2025-01-17,extreme greed,5304.377011,682217.17,17953.083421052634
2025-01-18,extreme greed,9270.283828,2433187.37,10223.476344537816
2025-01-19,extreme greed,83357.132757,7816495.62,11295.513901734104
2025-01-20,extreme greed,63895.782801,6996512.18,10258.815513196481
2025-01-21,extreme greed,5950.674575,1388491.91,9642.304930555554
2025-01-22,extreme greed,3520.518345,1345111.74,6498.124347826087
2025-01-23,extreme greed,25995.742985,1700876.57,9555.486348314607
2025-01-24,extreme greed,6941.28002,1385126.6099999999,2653.499252873563
2025-01-25,extreme greed,4667.601253,685648.65,5441.655952380953
2025-01-26,greed,38557.643499,1024096.18,5753.349325842697
2025-01-27,greed,2582.715893,897322.35,4193.095093457944
2025-01-28,greed,9524.368655,308356.65,1891.7585889570553
2025-01-29,greed,45.381082,133856.74,1097.1863934426228
2025-01-30,greed,19848.012889,2520299.05,4145.2287006578945
2025-01-31,extreme greed,7191.753947,1305258.26,4516.464567474049
2025-02-01,greed,26223.794232,874630.5,3555.4085365853657
2025-02-02,greed,152114.158803,4707926.88,6716.015520684736
2025-02-03,fear,162736.656137,21189551.41,14553.263331043956
2025-02-04,greed,409279.657585,14280778.38,10333.414167872648
2025-02-05,neutral,60902.899253,7057148.01,9001.464298469387
2025-02-06,neutral,53669.013134,1633447.89,2441.6261434977578
2025-02-07,fear,13786.764703,1370916.22,3655.7765866666664
2025-02-08,fear,235.47104,245364.13,16357.608666666667
2025-02-09,neutral,149442.309584,2698214.31,7008.348857142857
2025-02-10,fear,58146.232828,3003837.11,12464.054398340248
2025-02-11,neutral,-9829.955829,2404911.61,4598.301357552581
2025-02-12,neutral,17485.895642,3895742.74,4912.664237074401
2025-02-13,neutral,6594.238584,909137.04,2721.9671856287428
2025-02-14,neutral,198068.783167,2406657.37,3137.7540677966103
2025-02-15,neutral,4346.743973,601606.01,8979.194179104477
2025-02-16,neutral,889.161157,481258.65,4148.7814655172415
2025-02-17,neutral,1268.4574440000001,1577312.36,3592.966651480638
2025-02-18,neutral,82441.438865,1861247.27,2977.995632
2025-02-19,fear,7664.313329,2093098.06,4315.6661030927835
2025-02-20,neutral,38819.251445,2723455.25,4371.517255216693
2025-02-21,greed,102532.397121,2371034.43,3886.9416885245905
2025-02-22,neutral,8352.806906,2001401.77,5669.693399433428
2025-02-23,neutral,10044.983626,794879.73,2798.8722887323943
2025-02-24,neutral,46087.449033,9362920.43,2048.330875082039
2025-02-25,fear,199696.295221,14976752.0,3886.02802283342
2025-02-26,extreme fear,37122.557306,3722432.49,6384.961389365352
2025-02-27,extreme fear,8517.7655,41853.09,1819.6995652173912
2025-02-28,extreme fear,130987.5,1471509.55,13377.359545454547
2025-03-01,extreme fear,9482.221441,145439.9,2465.0830508474573
2025-03-02,fear,22869.80529,1209800.95,19203.189682539683
2025-03-03,fear,554469.014997,6070410.1,6898.1932954545455
2025-03-04,extreme fear,173965.879955,6129283.66,6520.514531914894
2025-03-05,extreme fear,230603.801722,6454227.4,5676.541248900616
2025-03-06,fear,4367.242156,1523685.37,7221.257677725119
